Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,144.2,-78.22,90.0,top
C2,10uF,C_0402_1005Metric,144.2,-80.043505,-90.0,top
D1,0805G (Green),LED0805-R-RD,139.594089,-92.594117,0.0,top
J1,Conn_01x04_MountingPin,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,139.55,-97.150243,0.0,top
R1,100R,R_0402_1005Metric,143.0,-92.6,0.0,top
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,139.5675,-88.6,180.0,top
U1,RF-BM-BG22C3,WIFI-SMD_15P-P1.00-L8.0-W8.0-P1.00_RF-BM-BG22C3,139.215,-81.2,0.0,top
